Feature	MSE	Logloss
HLAC	0.008068430577240392	0.05501349837812311
HLADMB	0.006615934829327832	0.047988526600637287
HNRNPD	0.006894180687115289	0.049968342076781636
HNRNPU	0.00739262643820767	0.05010740461515728
HVCN1	0.007239401297846459	0.05080297903488173
ID3	0.006960452549533501	0.049798474171976845
IKZF3	0.008803301028048575	0.05485780434194185
IL4R	0.009551968423069672	0.05724421674164616
IL4RTSS	0.009397889507980088	0.05341703077142717
INO80	0.009737566482288683	0.05747963567627898
IRF1	0.008320460946199289	0.054383967149754235
IRF1TSS	0.00761992397933139	0.05023513403733156
IRF4	0.006886887368912458	0.04576576190185555
IRF4SV	0.006599182504404616	0.0446798812970554
IRF4TSS	0.006936161607917348	0.04668336128610125
IRF8	0.010090108265226553	0.05684163201534702
IRF8TSS	0.00882629056676954	0.0547491756550623
ITPKB	0.007914779434733038	0.050135633804211745
ITPKBTSS	0.008243083294715145	0.049642499788712144
JAK1	0.00664006844615105	0.04625602243353166
JUNB	0.007800612334618033	0.05149655494482139
KLF2	0.009831358760687638	0.06025664990495517
KLF2TSS	0.00827791104803476	0.05469976549215663
KLHL14	0.00945033193390984	0.05758219469980639
KLHL6	0.009331291893002039	0.05549984602799832
KLHL6TSS	0.0064651448732387	0.045932152963777326
KMT2C	0.006888917273932436	0.04586438298894809
KRAS	0.005999653649964232	0.04249171466561496
LPPTSS1	0.006661354109380909	0.0456087295846785
LRMPTSS	0.007586775464671795	0.04891648171505328
LTB	0.007427250820000291	0.048127172637515675
MAP2K1	0.006744470811115904	0.04191530808090085
MEF2B	0.006444356221434013	0.04058858486371896
MEF2BHOTSPOT	0.0086062831851696	0.05034611431682229
MEF2C	0.006728813568204252	0.04413070458593299
MEF2CTSS	0.00592959123593469	0.041493093733197185
MGA	0.006860832606355381	0.04385331000902092
MIR155HGTSS	0.007200812103077588	0.045604853108609476
MIR17HGAMP	0.010951750317391222	0.05506941412166542
MIR17HGSV	0.0071930497068157725	0.044603774214340926
MPEG1	0.0052388521994273275	0.03912915773105428
